n_trees,sample_size,auc,train_time_sec,eval_time_sec,total_time_sec,score_mean,score_std,score_min,score_median,score_max
25,2,0.5,0.0022306000028038397,15.403947999999218,15.406178600002022,0.5,0.0,0.5,0.5,0.5
25,4,0.40664002031166085,0.0016811999958008528,18.408227299994905,18.409908499990706,0.5069960076843212,0.021608138038804584,0.45813546507025016,0.507520661453656,0.599378176700629
25,8,0.5147324621679713,0.0024682000002940185,24.909818400003132,24.912286600003426,0.5070219938166406,0.03604656831417501,0.4229417361485064,0.5047005813328703,0.6661867725381038
25,16,0.5252423415270598,0.003991500001575332,30.24598920000426,30.249980700005835,0.4955246578457917,0.04391974974147922,0.3931450485688332,0.49160143260404504,0.685296788214565
25,32,0.5930312459363694,0.006321100001514424,36.33702540000377,36.34334650000528,0.48526647409638085,0.04986567614044669,0.39920281836269256,0.47053888501385954,0.7335627333970993
25,64,0.5099268901648419,0.01273389999551,37.898852300000726,37.911586199996236,0.48487489763754416,0.05656821566328131,0.38925245297003747,0.4704124561539828,0.7404007696901872
25,128,0.6282420874357051,0.019283800000266638,41.53244079999422,41.551724599994486,0.46731696220064134,0.049874434473159215,0.3783031203739602,0.45642419796199984,0.7592455292382138
25,256,0.5834697632650969,0.033808200001658406,45.28411540000525,45.31792360000691,0.47091314594984546,0.04964359607780357,0.38791696975995416,0.4604663415148721,0.7305657462037497
25,512,0.5670912409274952,0.10108689999469789,48.25656739999977,48.357654299994465,0.4556089826610308,0.050585388379429955,0.3734470281865565,0.4429150467866985,0.7646525185425532
25,1024,0.6264601881097976,0.10158049999881769,51.01656650000223,51.118147000001045,0.45577027498846145,0.04346593913635443,0.3841817041986025,0.44361148389045196,0.7794241204300172
25,2048,0.6520141660962983,0.1920553999952972,54.15508840000257,54.347143799997866,0.441939086772168,0.046405741505407674,0.36663561507967996,0.4303866275732204,0.8045149126522586
25,4096,0.5697689563042615,0.2970917999991798,58.02054170000338,58.31763350000256,0.44704373675500236,0.03975782274759724,0.38374855950949466,0.43637008471782407,0.7917281874065252
50,2,0.5,0.0017809999990276992,19.631879799999297,19.633660799998324,0.5,0.0,0.5,0.5,0.5
50,4,0.42026102949896094,0.006142600002931431,36.57764569999563,36.58378829999856,0.5058850884967068,0.016926450537680764,0.4610761424261686,0.5042837676318586,0.5879829204631843
50,8,0.4639326798758827,0.004632999996829312,49.262329999997746,49.266962999994576,0.5090467321083607,0.03414436333914214,0.44285078609919565,0.5017901043380676,0.6670833860078257
50,16,0.5131674020267176,0.0075340999974287115,63.057284399998025,63.064818499995454,0.4904599564899546,0.039000989714986944,0.40753603771370267,0.48305116031044637,0.6779182177589075
50,32,0.5854711248052663,0.02049290000286419,70.34939640000084,70.3698893000037,0.481136888602456,0.05040180947853492,0.392970235830245,0.4670631415023858,0.7170392695465941
50,64,0.522151734220616,0.02244040000368841,76.08173570000508,76.10417610000877,0.4807503143826783,0.05312694489557329,0.3895282423996247,0.466819459654136,0.7376584833496759
50,128,0.6236325724124817,0.03628459999890765,83.45417589999852,83.49046049999743,0.4668380430517896,0.04935852887970825,0.38660130204486015,0.4522298760093666,0.7449649973613998
50,256,0.5835992523001196,0.06575180000072578,90.91124459999992,90.97699640000064,0.4692901839533753,0.04676878116470682,0.39297197959222757,0.456137965880415,0.7327438661637049
50,512,0.594782908767576,0.11339069999667117,96.94213589999708,97.05552659999375,0.4558966914231032,0.048042473011853916,0.3779836682556284,0.4424402774094041,0.7587212901755245
50,1024,0.6164777544714376,0.2673704999979236,104.88229890000366,105.14966940000159,0.45581879634606287,0.04451117667561245,0.3854120529294548,0.44359883485051027,0.7589465966230284
50,2048,0.6845861257504208,0.3338946000003489,110.33100430000195,110.6648989000023,0.4447626547346929,0.04432189499317156,0.3738921295771405,0.4333379552980626,0.7861443935228059
